block_id,aggregate_id,aggregate_name
block_001001,bzk_18,bzk_18
block_001005,bzk_18,bzk_18
block_001007,bzk_18,bzk_18
block_001009,bzk_18,bzk_18
block_001010,bzk_18,bzk_18
block_001012,bzk_18,bzk_18
block_001013,bzk_18,bzk_18
block_001044,bzk_18,bzk_18
block_001072,bzk_18,bzk_18
block_001073,bzk_18,bzk_18
block_001074,bzk_18,bzk_18
block_001075,bzk_18,bzk_18
block_001076,bzk_18,bzk_18
block_001090,bzk_18,bzk_18
block_001094,bzk_18,bzk_18
block_001601,bzk_18,bzk_18
block_001602,bzk_18,bzk_18
block_001624,bzk_18,bzk_18
block_001625,bzk_18,bzk_18
block_001641,bzk_18,bzk_18
block_001902,bzk_18,bzk_18
block_001911,bzk_18,bzk_18
block_002016,bzk_18,bzk_18
block_002017,bzk_18,bzk_18
block_002018,bzk_18,bzk_18
block_002019,bzk_18,bzk_18
block_002020,bzk_18,bzk_18
block_002022,bzk_18,bzk_18
block_002023,bzk_18,bzk_18
block_002024,bzk_18,bzk_18
block_002025,bzk_18,bzk_18
block_002026,bzk_18,bzk_18
block_002027,bzk_18,bzk_18
block_002028,bzk_18,bzk_18
block_002030,bzk_18,bzk_18
block_002031,bzk_18,bzk_18
block_002032,bzk_18,bzk_18
block_002033,bzk_18,bzk_18
block_002034,bzk_18,bzk_18
block_002035,bzk_18,bzk_18
block_002036,bzk_18,bzk_18
block_002037,bzk_18,bzk_18
block_002038,bzk_18,bzk_18
block_002039,bzk_18,bzk_18
block_002040,bzk_18,bzk_18
block_002041,bzk_18,bzk_18
block_002042,bzk_18,bzk_18
block_002043,bzk_18,bzk_18
block_002046,bzk_18,bzk_18
block_002047,bzk_18,bzk_18
block_002048,bzk_18,bzk_18
block_002049,bzk_18,bzk_18
block_002050,bzk_18,bzk_18
block_002051,bzk_18,bzk_18
block_002052,bzk_18,bzk_18
block_002053,bzk_18,bzk_18
block_002054,bzk_18,bzk_18
block_002055,bzk_18,bzk_18
block_002056,bzk_18,bzk_18
block_002057,bzk_18,bzk_18
block_002058,bzk_18,bzk_18
block_002059,bzk_18,bzk_18
block_002060,bzk_18,bzk_18
block_002061,bzk_18,bzk_18
block_002062,bzk_18,bzk_18
block_002063,bzk_18,bzk_18
block_002064,bzk_18,bzk_18
block_002065,bzk_18,bzk_18
block_002066,bzk_18,bzk_18
block_002067,bzk_18,bzk_18
block_002068,bzk_18,bzk_18
block_002069,bzk_18,bzk_18
block_002077,bzk_18,bzk_18
block_002078,bzk_18,bzk_18
block_002079,bzk_18,bzk_18
block_002080,bzk_18,bzk_18
block_002081,bzk_18,bzk_18
block_002082,bzk_18,bzk_18
block_002083,bzk_18,bzk_18
block_002650,bzk_18,bzk_18
block_002652,bzk_18,bzk_18
block_002653,bzk_18,bzk_18
block_003085,bzk_18,bzk_18
block_003086,bzk_18,bzk_18
block_003095,bzk_18,bzk_18
block_003096,bzk_18,bzk_18
block_003097,bzk_18,bzk_18
block_003098,bzk_18,bzk_18
block_003099,bzk_18,bzk_18
block_003100,bzk_18,bzk_18
block_003102,bzk_18,bzk_18
block_003103,bzk_18,bzk_18
block_003104,bzk_18,bzk_18
block_003105,bzk_18,bzk_18
block_003106,bzk_18,bzk_18
block_003107,bzk_18,bzk_18
block_003108,bzk_18,bzk_18
block_003109,bzk_18,bzk_18
block_003110,bzk_18,bzk_18
block_003111,bzk_18,bzk_18
block_003112,bzk_18,bzk_18
block_003113,bzk_18,bzk_18
block_003114,bzk_18,bzk_18
block_003115,bzk_18,bzk_18
block_003116,bzk_18,bzk_18
block_003117,bzk_18,bzk_18
block_003118,bzk_18,bzk_18
block_003119,bzk_18,bzk_18
block_003120,bzk_18,bzk_18
block_003122,bzk_18,bzk_18
block_003124,bzk_18,bzk_18
block_003125,bzk_18,bzk_18
block_003126,bzk_18,bzk_18
block_003135,bzk_18,bzk_18
block_003140,bzk_18,bzk_18
block_003141,bzk_18,bzk_18
block_003142,bzk_18,bzk_18
block_003144,bzk_18,bzk_18
block_003601,bzk_18,bzk_18
block_003602,bzk_18,bzk_18
block_003603,bzk_18,bzk_18
block_003604,bzk_18,bzk_18
block_003605,bzk_18,bzk_18
block_003606,bzk_18,bzk_18
block_003607,bzk_18,bzk_18
block_003608,bzk_18,bzk_18
block_003609,bzk_18,bzk_18
block_003610,bzk_18,bzk_18
block_003611,bzk_18,bzk_18
block_003613,bzk_18,bzk_18
block_003616,bzk_18,bzk_18
block_003623,bzk_18,bzk_18
block_003640,bzk_18,bzk_18
block_003907,bzk_18,bzk_18
block_004156,bzk_18,bzk_18
block_004603,bzk_18,bzk_18
block_004608,bzk_18,bzk_18
block_004617,bzk_18,bzk_18
block_004618,bzk_18,bzk_18
block_004628,bzk_18,bzk_18
block_005189,bzk_18,bzk_18
block_005192,bzk_18,bzk_18
block_005196,bzk_18,bzk_18
block_005197,bzk_18,bzk_18
block_005198,bzk_18,bzk_18
block_005199,bzk_18,bzk_18
block_005202,bzk_18,bzk_18
block_005204,bzk_18,bzk_18
block_005217,bzk_18,bzk_18
block_005218,bzk_18,bzk_18
block_005219,bzk_18,bzk_18
block_005220,bzk_18,bzk_18
block_005224,bzk_18,bzk_18
block_005227,bzk_18,bzk_18
block_005228,bzk_18,bzk_18
block_005229,bzk_18,bzk_18
block_005230,bzk_18,bzk_18
block_005231,bzk_18,bzk_18
block_005232,bzk_18,bzk_18
block_005233,bzk_18,bzk_18
block_005234,bzk_18,bzk_18
block_005235,bzk_18,bzk_18
block_005238,bzk_18,bzk_18
block_005239,bzk_18,bzk_18
block_005240,bzk_18,bzk_18
block_005242,bzk_18,bzk_18
block_005620,bzk_18,bzk_18
block_005622,bzk_18,bzk_18
block_005627,bzk_18,bzk_18
block_005628,bzk_18,bzk_18
block_005629,bzk_18,bzk_18
block_005633,bzk_18,bzk_18
block_005634,bzk_18,bzk_18
block_005635,bzk_18,bzk_18
block_005637,bzk_18,bzk_18
block_005638,bzk_18,bzk_18
block_005639,bzk_18,bzk_18
block_005640,bzk_18,bzk_18
block_005641,bzk_18,bzk_18
block_005642,bzk_18,bzk_18
block_005643,bzk_18,bzk_18
block_005644,bzk_18,bzk_18
block_005645,bzk_18,bzk_18
block_005646,bzk_18,bzk_18
block_005647,bzk_18,bzk_18
block_005648,bzk_18,bzk_18
block_005649,bzk_18,bzk_18
block_005650,bzk_18,bzk_18
block_005651,bzk_18,bzk_18
block_005652,bzk_18,bzk_18
block_006068,bzk_20,bzk_20
block_006069,bzk_20,bzk_20
block_006070,bzk_20,bzk_20
block_006071,bzk_20,bzk_20
block_006072,bzk_20,bzk_20
block_006073,bzk_20,bzk_20
block_006074,bzk_20,bzk_20
block_006075,bzk_20,bzk_20
block_006076,bzk_20,bzk_20
block_006077,bzk_20,bzk_20
block_006078,bzk_20,bzk_20
block_006079,bzk_20,bzk_20
block_006080,bzk_20,bzk_20
block_006081,bzk_20,bzk_20
block_006082,bzk_20,bzk_20
block_006083,bzk_20,bzk_20
block_006084,bzk_20,bzk_20
block_006085,bzk_20,bzk_20
block_006086,bzk_20,bzk_20
block_006087,bzk_20,bzk_20
block_006088,bzk_20,bzk_20
block_006089,bzk_20,bzk_20
block_006090,bzk_20,bzk_20
block_006091,bzk_20,bzk_20
block_006092,bzk_20,bzk_20
block_006093,bzk_20,bzk_20
block_006634,bzk_20,bzk_20
block_006635,bzk_20,bzk_20
block_007100,bzk_20,bzk_20
block_007101,bzk_20,bzk_20
block_007102,bzk_20,bzk_20
block_007103,bzk_20,bzk_20
block_007104,bzk_20,bzk_20
block_007105,bzk_20,bzk_20
block_007106,bzk_20,bzk_20
block_007107,bzk_20,bzk_20
block_007108,bzk_20,bzk_20
block_007109,bzk_20,bzk_20
