# Synthetic 96-zone spatial partition of Berlin blocks.
# NOT real Berlin Ortsteile — built via k-means on pack's (Xr, Yr)
# coords within each Bezirk to reach 96 spatially coherent sub-zones.
# num_zones=96, seed=42, n_blocks=12309
# Regeneration: python scripts/build_ortsteile_clusters.py --num-zones 96 --seed 42
block_id,aggregate_id,aggregate_name
block_001001,z96_075,z96_075
block_001005,z96_075,z96_075
block_001007,z96_075,z96_075
block_001009,z96_075,z96_075
block_001010,z96_075,z96_075
block_001012,z96_075,z96_075
block_001013,z96_075,z96_075
block_001044,z96_075,z96_075
block_001072,z96_075,z96_075
block_001073,z96_075,z96_075
block_001074,z96_075,z96_075
block_001075,z96_075,z96_075
block_001076,z96_075,z96_075
block_001090,z96_075,z96_075
block_001094,z96_075,z96_075
block_001601,z96_075,z96_075
block_001602,z96_075,z96_075
block_001624,z96_075,z96_075
block_001625,z96_075,z96_075
block_001641,z96_075,z96_075
block_001902,z96_075,z96_075
block_001911,z96_075,z96_075
block_002016,z96_075,z96_075
block_002017,z96_075,z96_075
block_002018,z96_075,z96_075
block_002019,z96_075,z96_075
block_002020,z96_075,z96_075
block_002022,z96_075,z96_075
block_002023,z96_075,z96_075
block_002024,z96_075,z96_075
block_002025,z96_075,z96_075
block_002026,z96_075,z96_075
block_002027,z96_075,z96_075
block_002028,z96_075,z96_075
block_002030,z96_075,z96_075
block_002031,z96_075,z96_075
block_002032,z96_075,z96_075
block_002033,z96_075,z96_075
block_002034,z96_075,z96_075
block_002035,z96_075,z96_075
block_002036,z96_075,z96_075
block_002037,z96_075,z96_075
block_002038,z96_075,z96_075
block_002039,z96_075,z96_075
block_002040,z96_075,z96_075
block_002041,z96_075,z96_075
block_002042,z96_075,z96_075
block_002043,z96_075,z96_075
block_002046,z96_075,z96_075
block_002047,z96_075,z96_075
block_002048,z96_075,z96_075
block_002049,z96_075,z96_075
block_002050,z96_075,z96_075
block_002051,z96_075,z96_075
block_002052,z96_075,z96_075
block_002053,z96_075,z96_075
block_002054,z96_075,z96_075
block_002055,z96_075,z96_075
block_002056,z96_075,z96_075
block_002057,z96_075,z96_075
block_002058,z96_075,z96_075
block_002059,z96_075,z96_075
block_002060,z96_075,z96_075
block_002061,z96_075,z96_075
block_002062,z96_075,z96_075
block_002063,z96_075,z96_075
block_002064,z96_075,z96_075
block_002065,z96_075,z96_075
block_002066,z96_075,z96_075
block_002067,z96_075,z96_075
block_002068,z96_075,z96_075
block_002069,z96_075,z96_075
block_002077,z96_075,z96_075
block_002078,z96_075,z96_075
block_002079,z96_075,z96_075
block_002080,z96_075,z96_075
block_002081,z96_075,z96_075
block_002082,z96_075,z96_075
block_002083,z96_075,z96_075
block_002650,z96_075,z96_075
block_002652,z96_075,z96_075
block_002653,z96_075,z96_075
block_003085,z96_075,z96_075
block_003086,z96_075,z96_075
block_003095,z96_075,z96_075
block_003096,z96_075,z96_075
block_003097,z96_075,z96_075
block_003098,z96_075,z96_075
block_003099,z96_075,z96_075
block_003100,z96_075,z96_075
block_003102,z96_075,z96_075
block_003103,z96_075,z96_075
block_003104,z96_075,z96_075
block_003105,z96_075,z96_075
block_003106,z96_075,z96_075
block_003107,z96_075,z96_075
block_003108,z96_075,z96_075
block_003109,z96_075,z96_075
block_003110,z96_075,z96_075
block_003111,z96_075,z96_075
block_003112,z96_075,z96_075
block_003113,z96_075,z96_075
block_003114,z96_075,z96_075
block_003115,z96_075,z96_075
block_003116,z96_075,z96_075
block_003117,z96_075,z96_075
block_003118,z96_075,z96_075
block_003119,z96_075,z96_075
block_003120,z96_075,z96_075
block_003122,z96_075,z96_075
block_003124,z96_075,z96_075
block_003125,z96_075,z96_075
block_003126,z96_075,z96_075
block_003135,z96_075,z96_075
block_003140,z96_075,z96_075
block_003141,z96_075,z96_075
block_003142,z96_075,z96_075
block_003144,z96_075,z96_075
block_003601,z96_075,z96_075
block_003602,z96_075,z96_075
block_003603,z96_075,z96_075
block_003604,z96_075,z96_075
block_003605,z96_075,z96_075
block_003606,z96_075,z96_075
block_003607,z96_075,z96_075
block_003608,z96_075,z96_075
block_003609,z96_075,z96_075
block_003610,z96_075,z96_075
block_003611,z96_075,z96_075
block_003613,z96_075,z96_075
block_003616,z96_075,z96_075
block_003623,z96_075,z96_075
block_003640,z96_075,z96_075
block_003907,z96_075,z96_075
block_004156,z96_075,z96_075
block_004603,z96_075,z96_075
block_004608,z96_075,z96_075
block_004617,z96_075,z96_075
block_004618,z96_075,z96_075
block_004628,z96_075,z96_075
block_005189,z96_075,z96_075
block_005192,z96_075,z96_075
block_005196,z96_075,z96_075
block_005197,z96_075,z96_075
block_005198,z96_075,z96_075
block_005199,z96_075,z96_075
block_005202,z96_075,z96_075
block_005204,z96_075,z96_075
block_005217,z96_075,z96_075
block_005218,z96_075,z96_075
block_005219,z96_075,z96_075
block_005220,z96_075,z96_075
block_005224,z96_075,z96_075
block_005227,z96_075,z96_075
block_005228,z96_075,z96_075
block_005229,z96_075,z96_075
block_005230,z96_075,z96_075
block_005231,z96_075,z96_075
block_005232,z96_075,z96_075
block_005233,z96_075,z96_075
block_005234,z96_075,z96_075
