# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Bezirk-level employment status (4-way).
# retrieved_at: 2026-04-23 20:01:02
bezirk_id,employment_bracket,share
bzk_01,employed,0.58
bzk_01,self-employed,0.08
bzk_01,unemployed,0.1
bzk_01,retired_or_student,0.24
bzk_02,employed,0.553
bzk_02,self-employed,0.0763
bzk_02,unemployed,0.1165
bzk_02,retired_or_student,0.2542
bzk_03,employed,0.5669
bzk_03,self-employed,0.0782
bzk_03,unemployed,0.108
bzk_03,retired_or_student,0.2469
bzk_04,employed,0.5924
bzk_04,self-employed,0.0817
bzk_04,unemployed,0.0924
bzk_04,retired_or_student,0.2335
bzk_05,employed,0.58
bzk_05,self-employed,0.08
bzk_05,unemployed,0.1
bzk_05,retired_or_student,0.24
bzk_06,employed,0.6042
bzk_06,self-employed,0.0833
bzk_06,unemployed,0.0852
bzk_06,retired_or_student,0.2273
bzk_07,employed,0.5669
bzk_07,self-employed,0.0782
bzk_07,unemployed,0.108
bzk_07,retired_or_student,0.2469
bzk_08,employed,0.58
bzk_08,self-employed,0.08
bzk_08,unemployed,0.1
bzk_08,retired_or_student,0.24
bzk_09,employed,0.5669
bzk_09,self-employed,0.0782
bzk_09,unemployed,0.108
bzk_09,retired_or_student,0.2469
bzk_10,employed,0.553
bzk_10,self-employed,0.0763
bzk_10,unemployed,0.1165
bzk_10,retired_or_student,0.2542
bzk_11,employed,0.5924
bzk_11,self-employed,0.0817
bzk_11,unemployed,0.0924
bzk_11,retired_or_student,0.2335
bzk_12,employed,0.58
bzk_12,self-employed,0.08
bzk_12,unemployed,0.1
bzk_12,retired_or_student,0.24
bzk_13,employed,0.5924
bzk_13,self-employed,0.0817
bzk_13,unemployed,0.0924
bzk_13,retired_or_student,0.2335
bzk_14,employed,0.5382
bzk_14,self-employed,0.0742
bzk_14,unemployed,0.1255
bzk_14,retired_or_student,0.262
bzk_15,employed,0.5924
bzk_15,self-employed,0.0817
bzk_15,unemployed,0.0924
bzk_15,retired_or_student,0.2335
bzk_16,employed,0.5669
bzk_16,self-employed,0.0782
bzk_16,unemployed,0.108
bzk_16,retired_or_student,0.2469
bzk_17,employed,0.58
bzk_17,self-employed,0.08
bzk_17,unemployed,0.1
bzk_17,retired_or_student,0.24
bzk_18,employed,0.58
bzk_18,self-employed,0.08
bzk_18,unemployed,0.1
bzk_18,retired_or_student,0.24
bzk_19,employed,0.58
bzk_19,self-employed,0.08
bzk_19,unemployed,0.1
bzk_19,retired_or_student,0.24
bzk_20,employed,0.5669
bzk_20,self-employed,0.0782
bzk_20,unemployed,0.108
bzk_20,retired_or_student,0.2469
bzk_21,employed,0.553
bzk_21,self-employed,0.0763
bzk_21,unemployed,0.1165
bzk_21,retired_or_student,0.2542
bzk_22,employed,0.5669
bzk_22,self-employed,0.0782
bzk_22,unemployed,0.108
bzk_22,retired_or_student,0.2469
bzk_23,employed,0.58
bzk_23,self-employed,0.08
bzk_23,unemployed,0.1
bzk_23,retired_or_student,0.24
