# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Bezirk-level income tertile shares (EUR/month net).
# retrieved_at: 2026-04-23 20:01:02
bezirk_id,income_bracket,income_mid,share
bzk_01,low,900,0.3135
bzk_01,mid,1700,0.34
bzk_01,high,3200,0.3465
bzk_02,low,900,0.3795
bzk_02,mid,1700,0.34
bzk_02,high,3200,0.2805
bzk_03,low,900,0.3465
bzk_03,mid,1700,0.34
bzk_03,high,3200,0.3135
bzk_04,low,900,0.297
bzk_04,mid,1700,0.34
bzk_04,high,3200,0.363
bzk_05,low,900,0.3465
bzk_05,mid,1700,0.34
bzk_05,high,3200,0.3135
bzk_06,low,900,0.264
bzk_06,mid,1700,0.34
bzk_06,high,3200,0.396
bzk_07,low,900,0.33
bzk_07,mid,1700,0.34
bzk_07,high,3200,0.33
bzk_08,low,900,0.33
bzk_08,mid,1700,0.34
bzk_08,high,3200,0.33
bzk_09,low,900,0.3465
bzk_09,mid,1700,0.34
bzk_09,high,3200,0.3135
bzk_10,low,900,0.363
bzk_10,mid,1700,0.34
bzk_10,high,3200,0.297
bzk_11,low,900,0.297
bzk_11,mid,1700,0.34
bzk_11,high,3200,0.363
bzk_12,low,900,0.3135
bzk_12,mid,1700,0.34
bzk_12,high,3200,0.3465
bzk_13,low,900,0.297
bzk_13,mid,1700,0.34
bzk_13,high,3200,0.363
bzk_14,low,900,0.3795
bzk_14,mid,1700,0.34
bzk_14,high,3200,0.2805
bzk_15,low,900,0.297
bzk_15,mid,1700,0.34
bzk_15,high,3200,0.363
bzk_16,low,900,0.33
bzk_16,mid,1700,0.34
bzk_16,high,3200,0.33
bzk_17,low,900,0.33
bzk_17,mid,1700,0.34
bzk_17,high,3200,0.33
bzk_18,low,900,0.3135
bzk_18,mid,1700,0.34
bzk_18,high,3200,0.3465
bzk_19,low,900,0.3135
bzk_19,mid,1700,0.34
bzk_19,high,3200,0.3465
bzk_20,low,900,0.3465
bzk_20,mid,1700,0.34
bzk_20,high,3200,0.3135
bzk_21,low,900,0.363
bzk_21,mid,1700,0.34
bzk_21,high,3200,0.297
bzk_22,low,900,0.3465
bzk_22,mid,1700,0.34
bzk_22,high,3200,0.3135
bzk_23,low,900,0.33
bzk_23,mid,1700,0.34
bzk_23,high,3200,0.33
