# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Ortsteile age-bracket shares (sex-pooled).
# retrieved_at: 2026-04-23 20:01:02
ortsteil_id,bezirk_id,age_bracket,age_mid,share
z96_000,bzk_01,25-34,30,0.22
z96_000,bzk_01,35-44,40,0.26
z96_000,bzk_01,45-54,50,0.25
z96_000,bzk_01,55-64,60,0.17
z96_000,bzk_01,65+,70,0.1
z96_001,bzk_01,25-34,30,0.22
z96_001,bzk_01,35-44,40,0.26
z96_001,bzk_01,45-54,50,0.25
z96_001,bzk_01,55-64,60,0.17
z96_001,bzk_01,65+,70,0.1
z96_002,bzk_01,25-34,30,0.22
z96_002,bzk_01,35-44,40,0.26
z96_002,bzk_01,45-54,50,0.25
z96_002,bzk_01,55-64,60,0.17
z96_002,bzk_01,65+,70,0.1
z96_003,bzk_01,25-34,30,0.22
z96_003,bzk_01,35-44,40,0.26
z96_003,bzk_01,45-54,50,0.25
z96_003,bzk_01,55-64,60,0.17
z96_003,bzk_01,65+,70,0.1
z96_004,bzk_02,25-34,30,0.22
z96_004,bzk_02,35-44,40,0.26
z96_004,bzk_02,45-54,50,0.25
z96_004,bzk_02,55-64,60,0.17
z96_004,bzk_02,65+,70,0.1
z96_005,bzk_02,25-34,30,0.22
z96_005,bzk_02,35-44,40,0.26
z96_005,bzk_02,45-54,50,0.25
z96_005,bzk_02,55-64,60,0.17
z96_005,bzk_02,65+,70,0.1
z96_006,bzk_03,25-34,30,0.22
z96_006,bzk_03,35-44,40,0.26
z96_006,bzk_03,45-54,50,0.25
z96_006,bzk_03,55-64,60,0.17
z96_006,bzk_03,65+,70,0.1
z96_007,bzk_03,25-34,30,0.22
z96_007,bzk_03,35-44,40,0.26
z96_007,bzk_03,45-54,50,0.25
z96_007,bzk_03,55-64,60,0.17
z96_007,bzk_03,65+,70,0.1
z96_008,bzk_03,25-34,30,0.22
z96_008,bzk_03,35-44,40,0.26
z96_008,bzk_03,45-54,50,0.25
z96_008,bzk_03,55-64,60,0.17
z96_008,bzk_03,65+,70,0.1
z96_009,bzk_03,25-34,30,0.22
z96_009,bzk_03,35-44,40,0.26
z96_009,bzk_03,45-54,50,0.25
z96_009,bzk_03,55-64,60,0.17
z96_009,bzk_03,65+,70,0.1
z96_010,bzk_03,25-34,30,0.22
z96_010,bzk_03,35-44,40,0.26
z96_010,bzk_03,45-54,50,0.25
z96_010,bzk_03,55-64,60,0.17
z96_010,bzk_03,65+,70,0.1
z96_011,bzk_03,25-34,30,0.22
z96_011,bzk_03,35-44,40,0.26
z96_011,bzk_03,45-54,50,0.25
z96_011,bzk_03,55-64,60,0.17
z96_011,bzk_03,65+,70,0.1
z96_012,bzk_04,25-34,30,0.22
z96_012,bzk_04,35-44,40,0.26
z96_012,bzk_04,45-54,50,0.25
z96_012,bzk_04,55-64,60,0.17
z96_012,bzk_04,65+,70,0.1
z96_013,bzk_04,25-34,30,0.22
z96_013,bzk_04,35-44,40,0.26
z96_013,bzk_04,45-54,50,0.25
z96_013,bzk_04,55-64,60,0.17
z96_013,bzk_04,65+,70,0.1
z96_014,bzk_05,25-34,30,0.22
z96_014,bzk_05,35-44,40,0.26
z96_014,bzk_05,45-54,50,0.25
z96_014,bzk_05,55-64,60,0.17
z96_014,bzk_05,65+,70,0.1
z96_015,bzk_06,25-34,30,0.22
z96_015,bzk_06,35-44,40,0.26
z96_015,bzk_06,45-54,50,0.25
z96_015,bzk_06,55-64,60,0.17
z96_015,bzk_06,65+,70,0.1
z96_016,bzk_06,25-34,30,0.22
z96_016,bzk_06,35-44,40,0.26
z96_016,bzk_06,45-54,50,0.25
z96_016,bzk_06,55-64,60,0.17
z96_016,bzk_06,65+,70,0.1
z96_017,bzk_06,25-34,30,0.22
z96_017,bzk_06,35-44,40,0.26
z96_017,bzk_06,45-54,50,0.25
z96_017,bzk_06,55-64,60,0.17
z96_017,bzk_06,65+,70,0.1
z96_018,bzk_06,25-34,30,0.22
z96_018,bzk_06,35-44,40,0.26
z96_018,bzk_06,45-54,50,0.25
z96_018,bzk_06,55-64,60,0.17
z96_018,bzk_06,65+,70,0.1
z96_019,bzk_06,25-34,30,0.22
z96_019,bzk_06,35-44,40,0.26
z96_019,bzk_06,45-54,50,0.25
z96_019,bzk_06,55-64,60,0.17
z96_019,bzk_06,65+,70,0.1
z96_020,bzk_06,25-34,30,0.22
z96_020,bzk_06,35-44,40,0.26
z96_020,bzk_06,45-54,50,0.25
z96_020,bzk_06,55-64,60,0.17
z96_020,bzk_06,65+,70,0.1
z96_021,bzk_07,25-34,30,0.22
z96_021,bzk_07,35-44,40,0.26
z96_021,bzk_07,45-54,50,0.25
z96_021,bzk_07,55-64,60,0.17
z96_021,bzk_07,65+,70,0.1
z96_022,bzk_07,25-34,30,0.22
z96_022,bzk_07,35-44,40,0.26
z96_022,bzk_07,45-54,50,0.25
z96_022,bzk_07,55-64,60,0.17
z96_022,bzk_07,65+,70,0.1
z96_023,bzk_07,25-34,30,0.22
z96_023,bzk_07,35-44,40,0.26
z96_023,bzk_07,45-54,50,0.25
z96_023,bzk_07,55-64,60,0.17
z96_023,bzk_07,65+,70,0.1
z96_024,bzk_07,25-34,30,0.22
z96_024,bzk_07,35-44,40,0.26
z96_024,bzk_07,45-54,50,0.25
z96_024,bzk_07,55-64,60,0.17
z96_024,bzk_07,65+,70,0.1
z96_025,bzk_08,25-34,30,0.22
z96_025,bzk_08,35-44,40,0.26
z96_025,bzk_08,45-54,50,0.25
z96_025,bzk_08,55-64,60,0.17
z96_025,bzk_08,65+,70,0.1
z96_026,bzk_08,25-34,30,0.22
z96_026,bzk_08,35-44,40,0.26
z96_026,bzk_08,45-54,50,0.25
z96_026,bzk_08,55-64,60,0.17
z96_026,bzk_08,65+,70,0.1
z96_027,bzk_08,25-34,30,0.22
z96_027,bzk_08,35-44,40,0.26
z96_027,bzk_08,45-54,50,0.25
z96_027,bzk_08,55-64,60,0.17
