# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Ortsteile ISCED education shares (low/mid/high).
# retrieved_at: 2026-04-23 20:01:02
ortsteil_id,bezirk_id,education_bracket,share
z96_000,bzk_01,low,0.1687
z96_000,bzk_01,mid,0.5459
z96_000,bzk_01,high,0.2854
z96_001,bzk_01,low,0.1687
z96_001,bzk_01,mid,0.5459
z96_001,bzk_01,high,0.2854
z96_002,bzk_01,low,0.1687
z96_002,bzk_01,mid,0.5459
z96_002,bzk_01,high,0.2854
z96_003,bzk_01,low,0.1687
z96_003,bzk_01,mid,0.5459
z96_003,bzk_01,high,0.2854
z96_004,bzk_02,low,0.2105
z96_004,bzk_02,mid,0.5514
z96_004,bzk_02,high,0.2381
z96_005,bzk_02,low,0.2105
z96_005,bzk_02,mid,0.5514
z96_005,bzk_02,high,0.2381
z96_006,bzk_03,low,0.1895
z96_006,bzk_03,mid,0.5486
z96_006,bzk_03,high,0.2618
z96_007,bzk_03,low,0.1895
z96_007,bzk_03,mid,0.5486
z96_007,bzk_03,high,0.2618
z96_008,bzk_03,low,0.1895
z96_008,bzk_03,mid,0.5486
z96_008,bzk_03,high,0.2618
z96_009,bzk_03,low,0.1895
z96_009,bzk_03,mid,0.5486
z96_009,bzk_03,high,0.2618
z96_010,bzk_03,low,0.1895
z96_010,bzk_03,mid,0.5486
z96_010,bzk_03,high,0.2618
z96_011,bzk_03,low,0.1895
z96_011,bzk_03,mid,0.5486
z96_011,bzk_03,high,0.2618
z96_012,bzk_04,low,0.1791
z96_012,bzk_04,mid,0.5473
z96_012,bzk_04,high,0.2736
z96_013,bzk_04,low,0.1791
z96_013,bzk_04,mid,0.5473
z96_013,bzk_04,high,0.2736
z96_014,bzk_05,low,0.2
z96_014,bzk_05,mid,0.55
z96_014,bzk_05,high,0.25
z96_015,bzk_06,low,0.1481
z96_015,bzk_06,mid,0.5432
z96_015,bzk_06,high,0.3086
z96_016,bzk_06,low,0.1481
z96_016,bzk_06,mid,0.5432
z96_016,bzk_06,high,0.3086
z96_017,bzk_06,low,0.1481
z96_017,bzk_06,mid,0.5432
z96_017,bzk_06,high,0.3086
z96_018,bzk_06,low,0.1481
z96_018,bzk_06,mid,0.5432
z96_018,bzk_06,high,0.3086
z96_019,bzk_06,low,0.1481
z96_019,bzk_06,mid,0.5432
z96_019,bzk_06,high,0.3086
z96_020,bzk_06,low,0.1481
z96_020,bzk_06,mid,0.5432
z96_020,bzk_06,high,0.3086
z96_021,bzk_07,low,0.2
z96_021,bzk_07,mid,0.55
z96_021,bzk_07,high,0.25
z96_022,bzk_07,low,0.2
z96_022,bzk_07,mid,0.55
z96_022,bzk_07,high,0.25
z96_023,bzk_07,low,0.2
z96_023,bzk_07,mid,0.55
z96_023,bzk_07,high,0.25
z96_024,bzk_07,low,0.2
z96_024,bzk_07,mid,0.55
z96_024,bzk_07,high,0.25
z96_025,bzk_08,low,0.2
z96_025,bzk_08,mid,0.55
z96_025,bzk_08,high,0.25
z96_026,bzk_08,low,0.2
z96_026,bzk_08,mid,0.55
z96_026,bzk_08,high,0.25
z96_027,bzk_08,low,0.2
z96_027,bzk_08,mid,0.55
z96_027,bzk_08,high,0.25
z96_028,bzk_08,low,0.2
z96_028,bzk_08,mid,0.55
z96_028,bzk_08,high,0.25
z96_029,bzk_09,low,0.2
z96_029,bzk_09,mid,0.55
z96_029,bzk_09,high,0.25
z96_030,bzk_09,low,0.2
z96_030,bzk_09,mid,0.55
z96_030,bzk_09,high,0.25
z96_031,bzk_10,low,0.1895
z96_031,bzk_10,mid,0.5486
z96_031,bzk_10,high,0.2618
z96_032,bzk_10,low,0.1895
z96_032,bzk_10,mid,0.5486
z96_032,bzk_10,high,0.2618
z96_033,bzk_10,low,0.1895
z96_033,bzk_10,mid,0.5486
z96_033,bzk_10,high,0.2618
z96_034,bzk_10,low,0.1895
z96_034,bzk_10,mid,0.5486
z96_034,bzk_10,high,0.2618
z96_035,bzk_10,low,0.1895
z96_035,bzk_10,mid,0.5486
z96_035,bzk_10,high,0.2618
z96_036,bzk_10,low,0.1895
z96_036,bzk_10,mid,0.5486
z96_036,bzk_10,high,0.2618
z96_037,bzk_10,low,0.1895
z96_037,bzk_10,mid,0.5486
z96_037,bzk_10,high,0.2618
z96_038,bzk_11,low,0.1791
z96_038,bzk_11,mid,0.5473
z96_038,bzk_11,high,0.2736
z96_039,bzk_11,low,0.1791
z96_039,bzk_11,mid,0.5473
z96_039,bzk_11,high,0.2736
z96_040,bzk_11,low,0.1791
z96_040,bzk_11,mid,0.5473
z96_040,bzk_11,high,0.2736
z96_041,bzk_11,low,0.1791
z96_041,bzk_11,mid,0.5473
z96_041,bzk_11,high,0.2736
z96_042,bzk_12,low,0.2105
z96_042,bzk_12,mid,0.5514
z96_042,bzk_12,high,0.2381
z96_043,bzk_12,low,0.2105
z96_043,bzk_12,mid,0.5514
z96_043,bzk_12,high,0.2381
z96_044,bzk_13,low,0.1895
z96_044,bzk_13,mid,0.5486
z96_044,bzk_13,high,0.2618
z96_045,bzk_13,low,0.1895
z96_045,bzk_13,mid,0.5486
z96_045,bzk_13,high,0.2618
z96_046,bzk_13,low,0.1895
z96_046,bzk_13,mid,0.5486
z96_046,bzk_13,high,0.2618
z96_047,bzk_13,low,0.1895
z96_047,bzk_13,mid,0.5486
z96_047,bzk_13,high,0.2618
z96_048,bzk_13,low,0.1895
z96_048,bzk_13,mid,0.5486
z96_048,bzk_13,high,0.2618
z96_049,bzk_13,low,0.1895
z96_049,bzk_13,mid,0.5486
z96_049,bzk_13,high,0.2618
z96_050,bzk_13,low,0.1895
z96_050,bzk_13,mid,0.5486
z96_050,bzk_13,high,0.2618
z96_051,bzk_13,low,0.1895
z96_051,bzk_13,mid,0.5486
z96_051,bzk_13,high,0.2618
z96_052,bzk_13,low,0.1895
z96_052,bzk_13,mid,0.5486
z96_052,bzk_13,high,0.2618
z96_053,bzk_14,low,0.2211
z96_053,bzk_14,mid,0.5528
z96_053,bzk_14,high,0.2261
z96_054,bzk_14,low,0.2211
z96_054,bzk_14,mid,0.5528
z96_054,bzk_14,high,0.2261
z96_055,bzk_14,low,0.2211
z96_055,bzk_14,mid,0.5528
z96_055,bzk_14,high,0.2261
z96_056,bzk_15,low,0.1791
z96_056,bzk_15,mid,0.5473
z96_056,bzk_15,high,0.2736
z96_057,bzk_15,low,0.1791
z96_057,bzk_15,mid,0.5473
z96_057,bzk_15,high,0.2736
z96_058,bzk_15,low,0.1791
z96_058,bzk_15,mid,0.5473
z96_058,bzk_15,high,0.2736
z96_059,bzk_15,low,0.1791
z96_059,bzk_15,mid,0.5473
z96_059,bzk_15,high,0.2736
z96_060,bzk_15,low,0.1791
z96_060,bzk_15,mid,0.5473
z96_060,bzk_15,high,0.2736
z96_061,bzk_15,low,0.1791
z96_061,bzk_15,mid,0.5473
z96_061,bzk_15,high,0.2736
z96_062,bzk_15,low,0.1791
z96_062,bzk_15,mid,0.5473
z96_062,bzk_15,high,0.2736
z96_063,bzk_16,low,0.2
z96_063,bzk_16,mid,0.55
z96_063,bzk_16,high,0.25
z96_064,bzk_16,low,0.2
z96_064,bzk_16,mid,0.55
z96_064,bzk_16,high,0.25
z96_065,bzk_16,low,0.2
z96_065,bzk_16,mid,0.55
z96_065,bzk_16,high,0.25
z96_066,bzk_16,low,0.2
z96_066,bzk_16,mid,0.55
z96_066,bzk_16,high,0.25
z96_067,bzk_16,low,0.2
z96_067,bzk_16,mid,0.55
z96_067,bzk_16,high,0.25
z96_068,bzk_16,low,0.2
z96_068,bzk_16,mid,0.55
z96_068,bzk_16,high,0.25
z96_069,bzk_17,low,0.2
z96_069,bzk_17,mid,0.55
z96_069,bzk_17,high,0.25
z96_070,bzk_17,low,0.2
z96_070,bzk_17,mid,0.55
z96_070,bzk_17,high,0.25
z96_071,bzk_17,low,0.2
z96_071,bzk_17,mid,0.55
z96_071,bzk_17,high,0.25
z96_072,bzk_17,low,0.2
z96_072,bzk_17,mid,0.55
z96_072,bzk_17,high,0.25
z96_073,bzk_17,low,0.2
z96_073,bzk_17,mid,0.55
z96_073,bzk_17,high,0.25
z96_074,bzk_17,low,0.2
z96_074,bzk_17,mid,0.55
z96_074,bzk_17,high,0.25
z96_075,bzk_18,low,0.2
z96_075,bzk_18,mid,0.55
z96_075,bzk_18,high,0.25
z96_076,bzk_19,low,0.2
z96_076,bzk_19,mid,0.55
z96_076,bzk_19,high,0.25
z96_077,bzk_19,low,0.2
z96_077,bzk_19,mid,0.55
z96_077,bzk_19,high,0.25
z96_078,bzk_19,low,0.2
z96_078,bzk_19,mid,0.55
z96_078,bzk_19,high,0.25
z96_079,bzk_19,low,0.2
