# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Share of households with at least one child <18.
# retrieved_at: 2026-04-23 20:01:02
ortsteil_id,bezirk_id,share_has_children
z96_000,bzk_01,0.1983
z96_001,bzk_01,0.2019
z96_002,bzk_01,0.1928
z96_003,bzk_01,0.1915
z96_004,bzk_02,0.1359
z96_005,bzk_02,0.136
z96_006,bzk_03,0.1704
z96_007,bzk_03,0.1633
z96_008,bzk_03,0.1685
z96_009,bzk_03,0.1699
z96_010,bzk_03,0.1668
z96_011,bzk_03,0.1676
z96_012,bzk_04,0.2168
z96_013,bzk_04,0.2085
z96_014,bzk_05,0.1888
z96_015,bzk_06,0.1982
z96_016,bzk_06,0.2066
z96_017,bzk_06,0.2044
z96_018,bzk_06,0.2006
z96_019,bzk_06,0.2058
z96_020,bzk_06,0.1998
z96_021,bzk_07,0.1554
z96_022,bzk_07,0.1513
z96_023,bzk_07,0.1584
z96_024,bzk_07,0.1594
z96_025,bzk_08,0.1797
z96_026,bzk_08,0.1776
z96_027,bzk_08,0.1683
z96_028,bzk_08,0.178
z96_029,bzk_09,0.1528
z96_030,bzk_09,0.1561
z96_031,bzk_10,0.1589
z96_032,bzk_10,0.1527
z96_033,bzk_10,0.1589
z96_034,bzk_10,0.1612
z96_035,bzk_10,0.1559
z96_036,bzk_10,0.1553
z96_037,bzk_10,0.1573
z96_038,bzk_11,0.1872
z96_039,bzk_11,0.1938
z96_040,bzk_11,0.1949
z96_041,bzk_11,0.1938
z96_042,bzk_12,0.2115
z96_043,bzk_12,0.2086
z96_044,bzk_13,0.194
z96_045,bzk_13,0.208
z96_046,bzk_13,0.2042
z96_047,bzk_13,0.2028
z96_048,bzk_13,0.1943
z96_049,bzk_13,0.2022
z96_050,bzk_13,0.2027
z96_051,bzk_13,0.1976
z96_052,bzk_13,0.2075
z96_053,bzk_14,0.1417
z96_054,bzk_14,0.1475
z96_055,bzk_14,0.1417
z96_056,bzk_15,0.1965
z96_057,bzk_15,0.2027
z96_058,bzk_15,0.2028
z96_059,bzk_15,0.2056
z96_060,bzk_15,0.2052
z96_061,bzk_15,0.1906
z96_062,bzk_15,0.2028
z96_063,bzk_16,0.1761
z96_064,bzk_16,0.1768
z96_065,bzk_16,0.1721
z96_066,bzk_16,0.1688
z96_067,bzk_16,0.1738
z96_068,bzk_16,0.17
z96_069,bzk_17,0.1746
z96_070,bzk_17,0.1749
z96_071,bzk_17,0.1876
z96_072,bzk_17,0.1802
z96_073,bzk_17,0.1832
z96_074,bzk_17,0.1793
z96_075,bzk_18,0.1925
z96_076,bzk_19,0.1941
z96_077,bzk_19,0.1928
z96_078,bzk_19,0.1831
z96_079,bzk_19,0.1868
z96_080,bzk_19,0.1973
z96_081,bzk_20,0.1795
z96_082,bzk_20,0.1827
z96_083,bzk_21,0.1654
z96_084,bzk_21,0.1649
z96_085,bzk_21,0.1712
z96_086,bzk_21,0.1641
z96_087,bzk_22,0.1722
z96_088,bzk_22,0.1665
z96_089,bzk_22,0.1725
z96_090,bzk_22,0.1689
z96_091,bzk_23,0.1904
z96_092,bzk_23,0.1876
z96_093,bzk_23,0.1934
z96_094,bzk_23,0.1919
z96_095,bzk_23,0.1828
