# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Share of households with at least one member 65+.
# retrieved_at: 2026-04-23 20:01:02
ortsteil_id,bezirk_id,share_has_elderly
z96_000,bzk_01,0.1362
z96_001,bzk_01,0.1386
z96_002,bzk_01,0.1324
z96_003,bzk_01,0.1316
z96_004,bzk_02,0.1691
z96_005,bzk_02,0.1692
z96_006,bzk_03,0.1598
z96_007,bzk_03,0.1532
z96_008,bzk_03,0.1581
z96_009,bzk_03,0.1594
z96_010,bzk_03,0.1565
z96_011,bzk_03,0.1573
z96_012,bzk_04,0.1759
z96_013,bzk_04,0.1692
z96_014,bzk_05,0.1519
z96_015,bzk_06,0.1602
z96_016,bzk_06,0.1669
z96_017,bzk_06,0.1651
z96_018,bzk_06,0.1621
z96_019,bzk_06,0.1663
z96_020,bzk_06,0.1614
z96_021,bzk_07,0.1788
z96_022,bzk_07,0.1741
z96_023,bzk_07,0.1823
z96_024,bzk_07,0.1834
z96_025,bzk_08,0.1681
z96_026,bzk_08,0.1662
z96_027,bzk_08,0.1575
z96_028,bzk_08,0.1665
z96_029,bzk_09,0.1584
z96_030,bzk_09,0.1619
z96_031,bzk_10,0.1661
z96_032,bzk_10,0.1597
z96_033,bzk_10,0.1662
z96_034,bzk_10,0.1686
z96_035,bzk_10,0.1631
z96_036,bzk_10,0.1624
z96_037,bzk_10,0.1645
z96_038,bzk_11,0.1664
z96_039,bzk_11,0.1723
z96_040,bzk_11,0.1732
z96_041,bzk_11,0.1723
z96_042,bzk_12,0.1798
z96_043,bzk_12,0.1774
z96_044,bzk_13,0.1646
z96_045,bzk_13,0.1764
z96_046,bzk_13,0.1733
z96_047,bzk_13,0.1721
z96_048,bzk_13,0.1648
z96_049,bzk_13,0.1716
z96_050,bzk_13,0.172
z96_051,bzk_13,0.1676
z96_052,bzk_13,0.176
z96_053,bzk_14,0.1653
z96_054,bzk_14,0.1721
z96_055,bzk_14,0.1653
z96_056,bzk_15,0.1588
z96_057,bzk_15,0.1638
z96_058,bzk_15,0.1639
z96_059,bzk_15,0.1662
z96_060,bzk_15,0.1659
z96_061,bzk_15,0.154
z96_062,bzk_15,0.1639
z96_063,bzk_16,0.173
z96_064,bzk_16,0.1737
z96_065,bzk_16,0.169
z96_066,bzk_16,0.1659
z96_067,bzk_16,0.1707
z96_068,bzk_16,0.167
z96_069,bzk_17,0.1552
z96_070,bzk_17,0.1555
z96_071,bzk_17,0.1668
z96_072,bzk_17,0.1601
z96_073,bzk_17,0.1628
z96_074,bzk_17,0.1594
z96_075,bzk_18,0.1634
z96_076,bzk_19,0.1726
z96_077,bzk_19,0.1713
z96_078,bzk_19,0.1627
z96_079,bzk_19,0.1661
z96_080,bzk_19,0.1754
z96_081,bzk_20,0.1596
z96_082,bzk_20,0.1624
z96_083,bzk_21,0.1797
z96_084,bzk_21,0.1792
z96_085,bzk_21,0.186
z96_086,bzk_21,0.1783
z96_087,bzk_22,0.1611
z96_088,bzk_22,0.1557
z96_089,bzk_22,0.1614
z96_090,bzk_22,0.158
z96_091,bzk_23,0.1611
z96_092,bzk_23,0.1588
z96_093,bzk_23,0.1637
z96_094,bzk_23,0.1625
z96_095,bzk_23,0.1548
