# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Ortsteile housing tenure (owner/renter).
# retrieved_at: 2026-04-23 20:01:02
ortsteil_id,bezirk_id,tenure_bracket,share
z96_000,bzk_01,owner,0.1193
z96_000,bzk_01,renter,0.8807
z96_001,bzk_01,owner,0.1221
z96_001,bzk_01,renter,0.8779
z96_002,bzk_01,owner,0.1148
z96_002,bzk_01,renter,0.8852
z96_003,bzk_01,owner,0.1138
z96_003,bzk_01,renter,0.8862
z96_004,bzk_02,owner,0.1115
z96_004,bzk_02,renter,0.8885
z96_005,bzk_02,owner,0.1116
z96_005,bzk_02,renter,0.8884
z96_006,bzk_03,owner,0.1454
z96_006,bzk_03,renter,0.8546
z96_007,bzk_03,owner,0.1375
z96_007,bzk_03,renter,0.8625
z96_008,bzk_03,owner,0.1433
z96_008,bzk_03,renter,0.8567
z96_009,bzk_03,owner,0.1448
z96_009,bzk_03,renter,0.8552
z96_010,bzk_03,owner,0.1414
z96_010,bzk_03,renter,0.8586
z96_011,bzk_03,owner,0.1423
z96_011,bzk_03,renter,0.8577
z96_012,bzk_04,owner,0.2168
z96_012,bzk_04,renter,0.7832
z96_013,bzk_04,owner,0.2059
z96_013,bzk_04,renter,0.7941
z96_014,bzk_05,owner,0.1698
z96_014,bzk_05,renter,0.8302
z96_015,bzk_06,owner,0.2213
z96_015,bzk_06,renter,0.7787
z96_016,bzk_06,owner,0.2338
z96_016,bzk_06,renter,0.7662
z96_017,bzk_06,owner,0.2305
z96_017,bzk_06,renter,0.7695
z96_018,bzk_06,owner,0.2249
z96_018,bzk_06,renter,0.7751
z96_019,bzk_06,owner,0.2326
z96_019,bzk_06,renter,0.7674
z96_020,bzk_06,owner,0.2237
z96_020,bzk_06,renter,0.7763
z96_021,bzk_07,owner,0.1649
z96_021,bzk_07,renter,0.8351
z96_022,bzk_07,owner,0.1591
z96_022,bzk_07,renter,0.8409
z96_023,bzk_07,owner,0.1692
z96_023,bzk_07,renter,0.8308
z96_024,bzk_07,owner,0.1705
z96_024,bzk_07,renter,0.8295
z96_025,bzk_08,owner,0.1724
z96_025,bzk_08,renter,0.8276
z96_026,bzk_08,owner,0.1698
z96_026,bzk_08,renter,0.8302
z96_027,bzk_08,owner,0.1581
z96_027,bzk_08,renter,0.8419
z96_028,bzk_08,owner,0.1703
z96_028,bzk_08,renter,0.8297
z96_029,bzk_09,owner,0.1257
z96_029,bzk_09,renter,0.8743
z96_030,bzk_09,owner,0.1294
z96_030,bzk_09,renter,0.8706
z96_031,bzk_10,owner,0.134
z96_031,bzk_10,renter,0.866
z96_032,bzk_10,owner,0.1272
z96_032,bzk_10,renter,0.8728
z96_033,bzk_10,owner,0.1341
z96_033,bzk_10,renter,0.8659
z96_034,bzk_10,owner,0.1366
z96_034,bzk_10,renter,0.8634
z96_035,bzk_10,owner,0.1308
z96_035,bzk_10,renter,0.8692
z96_036,bzk_10,owner,0.1301
z96_036,bzk_10,renter,0.8699
z96_037,bzk_10,owner,0.1323
z96_037,bzk_10,renter,0.8677
z96_038,bzk_11,owner,0.193
z96_038,bzk_11,renter,0.807
z96_039,bzk_11,owner,0.2022
z96_039,bzk_11,renter,0.7978
z96_040,bzk_11,owner,0.2036
z96_040,bzk_11,renter,0.7964
z96_041,bzk_11,owner,0.2021
z96_041,bzk_11,renter,0.7979
z96_042,bzk_12,owner,0.2361
z96_042,bzk_12,renter,0.7639
z96_043,bzk_12,owner,0.2319
z96_043,bzk_12,renter,0.7681
z96_044,bzk_13,owner,0.2067
z96_044,bzk_13,renter,0.7933
z96_045,bzk_13,owner,0.2267
z96_045,bzk_13,renter,0.7733
z96_046,bzk_13,owner,0.2214
z96_046,bzk_13,renter,0.7786
z96_047,bzk_13,owner,0.2194
z96_047,bzk_13,renter,0.7806
z96_048,bzk_13,owner,0.2072
z96_048,bzk_13,renter,0.7928
z96_049,bzk_13,owner,0.2185
z96_049,bzk_13,renter,0.7815
z96_050,bzk_13,owner,0.2192
z96_050,bzk_13,renter,0.7808
z96_051,bzk_13,owner,0.2119
z96_051,bzk_13,renter,0.7881
z96_052,bzk_13,owner,0.226
z96_052,bzk_13,renter,0.774
z96_053,bzk_14,owner,0.0998
z96_053,bzk_14,renter,0.9002
z96_054,bzk_14,owner,0.1053
z96_054,bzk_14,renter,0.8947
z96_055,bzk_14,owner,0.0998
z96_055,bzk_14,renter,0.9002
z96_056,bzk_15,owner,0.1936
z96_056,bzk_15,renter,0.8064
z96_057,bzk_15,owner,0.2018
z96_057,bzk_15,renter,0.7982
z96_058,bzk_15,owner,0.2019
z96_058,bzk_15,renter,0.7981
z96_059,bzk_15,owner,0.2056
z96_059,bzk_15,renter,0.7944
z96_060,bzk_15,owner,0.205
z96_060,bzk_15,renter,0.795
z96_061,bzk_15,owner,0.1857
z96_061,bzk_15,renter,0.8143
z96_062,bzk_15,owner,0.2018
z96_062,bzk_15,renter,0.7982
z96_063,bzk_16,owner,0.1591
z96_063,bzk_16,renter,0.8409
z96_064,bzk_16,owner,0.1599
z96_064,bzk_16,renter,0.8401
z96_065,bzk_16,owner,0.1543
z96_065,bzk_16,renter,0.8457
z96_066,bzk_16,owner,0.1504
z96_066,bzk_16,renter,0.8496
z96_067,bzk_16,owner,0.1563
z96_067,bzk_16,renter,0.8437
z96_068,bzk_16,owner,0.1518
z96_068,bzk_16,renter,0.8482
z96_069,bzk_17,owner,0.1632
z96_069,bzk_17,renter,0.8368
z96_070,bzk_17,owner,0.1636
z96_070,bzk_17,renter,0.8364
z96_071,bzk_17,owner,0.1796
z96_071,bzk_17,renter,0.8204
z96_072,bzk_17,owner,0.1702
z96_072,bzk_17,renter,0.8298
z96_073,bzk_17,owner,0.174
z96_073,bzk_17,renter,0.826
z96_074,bzk_17,owner,0.1691
z96_074,bzk_17,renter,0.8309
z96_075,bzk_18,owner,0.1965
